Carrying value as at 1 October 2014,"1,879,071","61,909","1,342","1,942,322"
Disposal during the year,"(1,908)",(569),-,"(2,477)"
Changes due to price estimate,"302,764",-,404,"303,168"
Changes due to yield estimate,"(362,749)","(38,273)",660,"(400,362)"
Changes in immature trees/bushes,-,126,-,126
Carrying value as at 30 September 2015,"1,817,178","23,193","2,406","1,842,777"
