Column,2017,2016
,"Sitting
Fees Allowance Total
KShs’000 KShs’000 KShs’000","Sitting
Fees Allowance Total
KShs’000 KShs’000 KShs’000"
"Dr. J.B. McFie*
Dr. N. N. Merali
A.H. Butt
S.N. Merali
Mrs. L.W. Waithaka
Dr. S.O. Mainda
A.R. Kassam","600 93 693
500 40 540
500 110 610
500 63 563
500 70 570
500 70 570
- - -","600 63 663
500 30 530
500 110 610
500 60 560
500 70 570
500 63 563
- 18 18"
Total,"3,100 446 3,546","3,100 414 3,514"
