Capital,Column,Retained,Column,Column,Column
Reserves,,Earnings,,,
Ksh ‘000,,Ksh ‘000,,,
"40,594",,"381,232",,,
-,,"73,962",,,
-,,"(67,213)",,,
-,,-,,,
-,,-,,,
-,,"17,386",,,
-,,-,,,
-,"(49,026) -","24,135","67,213",-,"- 42,322"
,"- -
- -",,"- (
-","57,014)
-","- (57,014
- (57,014"
-,,-,,,
-,,"(57,014)",,,
-,- -,"(57,014)",- (,"57,014)","- (114,028"
,"1,109,899 -",,"981,741",-,"- 2,708,642"
"40,594",,"348,353",,,
,"1,109,899 -
- -
- -
4,423,047 -
(13,389) -
- 2,449
- (735)
(15,240) -
4,572 -",,"981,741
-
265,368
-
-
-
-
-","-
-
-
-
-
-
-
-","- 2,708,642
- 306,181
-
- 4,423,047
- (13,389
- 2,449
- (735
-
-"
"40,594",,"348,353",,,
-,,"306,181",,,
-,,"(265,368)",,,
-,,-,,,
-,,-,,,
-,,-,,,
-,,-,,,
-,,"15,240",,,
-,,"(4,572)",,,
-,"4,398,990 1,714","51,481","265,368",-,"- 4,717,553"
,-,,-,"57,014",-
-,,"(57,014)",,,
-,- -,"(57,014)",-,"57,014",-
,"5,508,889 1,714",,"1,247,109","57,014","- 7,426,195"
"40,594",,"342,820",,,
