"estimated point of sale costs 226,309 (469,260) 965,498 (269,147) -"
"Profit/(loss) before taxation and minority interests 349,493 (524,894) 1,104,137 (364,955) (68,415)"
"Taxation (109,168) 158,998 (327,473) 103,617 9,807"
"Profit/(loss) after taxation before minority interests 240,325 (365,896) 776,664 (261,338) (58,608)"
"Minority interests (3,587) (20,698) (5,502) 8,982 9,846"
"Exceptional item - - - 2,049 41,822"
"Profit/(loss) attributable to the members 236,738 (386,594) 771,162 (250,307) (6,940)"
"Dividend (38,009) - (95,023) - (19,005)"
