Jina la Mkurugenzi Idadi ya Hisa
"Bw.A.P.Hamilton 10,000"
"Bw.P.W.Muthoka 34,568"
Bw.A.H.Butt 100
"Bw.I.A.Timamy 1,950"
Bw.M.N.Omar 450
"Bw.S.N.Merali 45,000"
