Column,Column,Column,Group,Column,Column,Column,Company,Column,Column
,,,2025,,2024,,2025,,*2024
,,,KShs’000,,KShs’000,,KShs’000,,KShs’000
N,et (loss)/gain on disposal of,,,,,,,,
p,"roperty, plant and equipment",,"( 2,530)",,"2,898",,( 399),,"2,466"
R,ent income,,"3,237",,"1,619",,"21,134",,"19,516"
D,ividend income,,-,,-,,-,,"180,000"
G,ain on redemption of bonds,,-,,"21,473",,-,,-
S,undry income,,"24,599",,"38,113",,"32,631",,"44,332"
,,"25,306",,"64,103",,"53,366",,"246,314",
