Column,2019,2018
,"Sitting
Fees allowance Total
KShs’000 KShs’000 KShs’000","Sitting
Fees allowance Total
KShs’000 KShs’000 KShs’000"
"Dr. J.B. McFie*
Dr. N. N. Merali
A.H. Butt
S.N. Merali
Mrs. L.W. Waithaka
Dr. S.O. Mainda
Mrs. Betty Koech
Mrs. RosemaryMunyiri","1,200 250 1,450
1,000 100 1,100
1,000 295 1,295
1,000 175 1,175
- - -
1,000 175 1,175
1,000 175 1,175
1,000 175 1,175","1,200 200 1,400
1,000 80 1,080
1,000 190 1,190
1,000 140 1,140
- 35 35
1,000 140 1,140
833 125 958
833 120 953"
Total,"7,200 1,345 8,545","6,866 1,030 7,896"
