Column,Column,Column,Column,Biological,Column,Column,Column,Column,Column
Share,,Revaluation,,Assets Fair,,Proposed,,,
Capital,,Reserves,,Value,,Dividends,,Total,
Ksh ‘000,,Ksh ‘000,,Ksh ‘000,,Ksh‘000,,Ksh‘000,
"228,055",,"5,678,118",,"1,179,161",,"57,014",,"7,818,301",
,,,,"(1,123,782)",,-,,"(1,123,782)",
"228,055","40,594","5,678,118","5,456","55,379","629,903","57,014",-,"6,694,519",
,"-
-",,"-
-",,"79,458
8,450",,"-
-",,
-,,-,,-,,-,,"79,458",
-,,-,,"(8,450)",,-,,-,
"228,055","40,594","5,678,118","5,456","46,929","717,811","57,014",-,"6,773,977","COMMENTS ON THE RESULTS (UNAUDITED) FOR THE SIX MONTH PERIOD ENDED 31ST MARCH, 2017"
,"-
-",,"-
-",,"-
(57,014)",,"-
-",,
-,,-,,-,,"(57,014)",,"(57,014)",
-,,-,,-,,"57,014",,-,
-,-,-,-,-,"(57,014)",-,-,"(57,014)",
"228,055","40,594","5,678,118","5,456","46,929","660,797","57,014",-,"6,716,963",
,"40,594",,"2,647
-",,"1,064,947
-",,"-
-",,
"228,055",,"5,517,443",,"1,185,294",,"285,069",,"8,324,049",
,,,,"(1,154,383)",,-,,"(1,154,383)",
"228,055","40,594","5,517,443","2,647","30,911","1,064,947","285,069",-,"7,169,666",
,"-
-",,"-
-",,"39,034
30,911",,"-
-",,
-,,-,,-,,-,,"39,034",
-,,-,,"(30,911)",,-,,-,
"228,055","40,594","5,517,443","2,647",-,"1,134,891","285,069",-,"7,208,700",
,"-
-",,"-
-",,"46,750
-",,"-
-",,
-,,-,,-,,-,,"46,750",
-,,-,,-,,"(285,069)",,"(285,069)",
-,-,-,-,-,"46,750","(285,069)",-,"(238,319)",
"228,055","40,594","5,517,443","2,647",-,"1,181,641",-,-,"6,970,381",
