Topic,Column,Response to Material Issue,SDG addressed
"Environment and
Climate Change","Greenhouse Gas (GHG)
Emissions","Reduction of greenhouse gas
emissions, through prudent farm
and factory practices, to reduce
the farmers’ and neighbouring
communities’ vulnerability to
the adverse effects of climate
change.
Increasing tree population
through a sound afforestation
programme within our estates.
Biodiversity conservation
through sustainable agriculture
practices, protection of habitats
and preservation.","13, 15"
,"Waste Management and
Waste reduction","Making the most efficient use
of resources at our tea, coffee,
macadamia and avocado
operations while reducing
waste and minimizing their
deleterious impact on the
environment.
Drastic elimination of one-
time plastic use and plastic
water carboys in the office
place.","12, 13"
,Clean Water and Sanitation,"Efficient use of water,
protection of water courses,
riparian reserves and
reduction of the release of
water pollutants through soak
lagoons.
Provision of clean and
purified potable water direct
from mains via purifying
machines at the workplace.","3, 6"
