"Creditors 15 59,026 43,607"
"Amount due to subsidiary companies 10 75,748 2,359"
"Bank overdraft 17 1,852 785"
"136,626 46,751"
"TOTAL SHAREHOLDERS’ FUNDS AND LIABILITIES 1,238,843 1,172,542"
