New standard or amendments,Column,"Effective for annual
periods beginning
on or after",Column
"— Classification of liabilities as current or non-current
(Amendments to IAS 1))",,1 January 2023,
"— Disclosure of Accounting Policies (Amendments to IAS 1
and IFRS Practice Statement 2)",,1 January 2023,
— Definition of Accounting Estimate (Amendments to IAS 8),,1 January 2023,
"— Deferred Tax Related to Assets and Liabilities Arising
from a Single Transaction (Amendments to IAS 12)",,1 January 2023,
"— International Tax Reform—Pillar Two Model Rules
(Amendments to IAS 12)",,23 May 2023,
—,Classification of liabilities as current or non-current,1 January 2024,1 January 2024
,(Amendments to IAS 1),,
—,Lease Liability in a Sale and Leaseback (Amendments to,1 January 2024,1 January 2024
,IFRS 16),,
—,Non-current Liabilities with Covenants (Amendments to,1 January 2024,1 January 2024
,IAS 1),,
—,IFRS S1 General Requirements for Disclosure of,1 January 2024,1 January 2024
,Sustainability-related Financial Information and IFRS S2,,
,Climate-related Disclosures,,
—,Lack of Exchangeability (Amendments to IAS 21),,1 January 2025
"— Sale or Contribution of Assets between an Investor and its
Associate or Company (Amendments to IFRS 10 and IAS
28).",,Optional,
