Column,Column,Column,Column,Biological,Column,Column,Column,Column
Share,,Revaluation,,Assets Fair,,Proposed,,
Capital,,Reserves,,Value,,Dividends,,Total
Ksh ‘000,,Ksh ‘000,,Ksh ‘000,,Ksh ‘000,,Ksh ‘000
"228,055",,"5,508,889",,"1,247,109",,"57,014",,"7,426,195"
-,,-,,-,,-,,"89,000"
-,,-,,"52,547",,-,,-
-,,"(7,620)",,-,,-,,-
-,,"2,286",,-,,-,,"2,286"
"228,055","40,594","5,503,555","1,714","1,299,656","386,892","57,014",-,"7,517,481"
,-,,-,,-,,-,
-,,-,,-,,"(57,014)",,"(57,014)"
-,-,-,-,-,-,"(57,014)",-,"(57,014)"
"228,055","40,594","5,503,555","1,714","1,299,656","386,893",-,-,"7,460,467"
