2014,"0-1 month
KShs’000","2-3 months
KShs’000","4-12 months
KShs’000","Over 1 year
KShs’000","Total
KShs’000"
,"308,154
-","103,503
681","102,797
-","7,914
-",
,"308,154","104,184","102,797","7,914",
,"0-1 month
KShs’000
432,880
17,179","2-3 months
KShs’000
65,855
51,536","4-12 months
KShs’000
37,953
106,776","Over 1 year
KShs’000
-
-",
,"450,059","117,391","144,729",-,
2014,"0-1 month
KShs’000","2-3 months
KShs’000","4-12 months
KShs’000","Over 1 year
KShs’000","Total
KShs’000"
,"140,716
-","101,100
-","15,073
357,805","7,119
-",
,"140,716","101,100","372,875","7,119",
,"0-1 month
KShs’000
206,757
17,179
246,631","2-3 months
KShs’000
2,048
51,536
-","4-12 months
KShs’000
34,261
106,776
-","Over 1 year
KShs’000
-
-
-",
,"470,567","53,584","141,037",-,
