Revaluation,Column,Retained,Column,Proposed,Column,Column
Reserves,,Earnings,,Dividends,,Total
Ksh ‘000,,Ksh ‘000,,Ksh ‘000,,Ksh ‘000
"1,109,899",,"348,353",,-,,"2,708,642"
-,,"306,181",,-,,"306,181"
-,,"(265,368)",,-,,-
"4,423,047",,-,,-,,"4,423,047"
"(13,389)",,,,,,"(13,389)"
,,,,,,"2,449"
,,,,,,(735)
"(15,240)",,"15,240",,-,,-
"4,572",,"(4,572)",,-,,-
"4,398,990","1,714","51,481","265,368",-,-,"4,717,553"
,,,-,,-,
-,,"(57,014)",,"57,014",,-
-,-,"(57,014)",-,"57,014",-,-
"5,508,889","1,714","342,820","1,247,109","57,014",-,"7,426,195"
,"1,714
5,346
(1,604)",,"1,247,109
-
(67,948)
-",,"-
-
-
-",
"5,508,889",,"342,820",,"57,014",,"7,426,195"
-,,"504,204",,-,,"504,204"
-,,"67,948",,-,,-
"241,756",,-,,-,,"241,756"
"(72,527)",,,,,,"(72,527)"
,,,,,,-
,,,,,,"5,346"
,,,,,,"(1,604)"
"169,229","3,742","572,152","(67,948)",-,-,"677,175"
,,,"-
-
-",,"-
-",
-,,,,"(57,014)",,"(57,014)"
-,,"(228,055)",,,,"(228,055)"
-,,"(57,014)",,"57,014",,-
,,,,,,-
-,-,"(285,069)",-,-,-,"(285,069)"
"5,678,118","5,456","629,903","1,179,161","57,014",-,"7,818,301"
