Column,Stakeholder Group,Material Relationship,Means of Engagement
1,The Environment,"The land sustains our
operations","Protection, stewardship, and
precautionary approach to
the environment.
Application and diffusion
of environmentally friendly
technologies."
2,Employees,"Provide human capital. Their
engagement, skills and
attitude help the company to
achieve its business
objectives","Internal Circulars,
Trainings and Sensitization
on human rights,
Leadership coaching and
mentorship, fair
compensation."
3,"Investors &
Shareholders","Provide financial Capital.
Ownership
Their feedback helps shape
our business imperatives","Investor briefings and
meetings, investors
relations portal on website,
Announcement of interim
and annual results.
Return to shareholders."
4,"Government/
Regulatory &
Industry Advocacy
Bodies","Provides policies and
framework for operational
licenses, imposes regulations
for proper governance and
industry guidelines.","Compliance with Licensing
requirements; Payment of
Taxes and statutory
obligations; Engagement
through industry
consultative bodies."
