"Members Present/In
Attendance","October
2022",January 2023,April 2023,July 2023
Mr. Steve Mainda,√,Y,√,Y
Dr. J.B. Mcfie,√,√,√,√
Mr. A. H. Butt,√,√,√,√
Mr. Martin Ochieng’,√,√,√,√
Mr. Lawrence Kibet *,√,√,x,x
Ms. Victoria Cherotich **,x,x,√,√
