New standard or amendments,"Effective for
annual periods
beginning on or
after"
 IFRS 16 Leases,1 January 2019
 IFRIC 23 Income tax exposures,1 January 2019
" Prepayment Features with Negative Compensation
(Amendments to IFRS 9)",1 January 2019
" Long-term Interests in Associates and Joint Ventures
(Amendments to IAS 28)",1 January 2019
" Plan Amendment, Curtailment or Settlement (Amendments
to IAS 19)",1 January 2019
" Annual Improvements to IFRS Standards 2015–2017 Cycle
– various standards",1 January 2019
" Amendments to References to Conceptual Framework in
IFRS Standards",1 January 2020
 Definition of a Business (Amendments to IFRS 3),1 January 2020
 Definition of Material (Amendments to IAS 1 and IAS 8),I January 2020
 IFRS 17 Insurance Contracts,1 January 2021
" Sale or Contribution of Assets between an Investor and its
Associate or Joint Venture (Amendments to IFRS10 and
IAS 28)",To be determined
