"Stock movements (74,305) 4,728"
"Stock adjustment 2,093 -"
"General charges 112,377 119,317"
"Plantation maintenance costs 264,266 272,160"
"Production expenses 183,020 196,429"
"Green leaf purchases 250,144 114,206"
"Coffee purchases 131,918 34,147"
"Shipping costs 7,098 1,011"
"Livestock expenses 17,746 17,139"
"Retail trading expenses 33,170 -"
"Horticulture expenses 12,957 14,709"
"940,484 773,846"
