"30-Sep-21
Ksh '000
11,268,638
152,704
21,845
1,136,449
-
25,709
3",Column,"30-Sep-21
Ksh '000
7,351,938
45,236
14,819
151,587
817,727
15,504
-"
"12,605,348","8,402,654","8,396,811"
"484,901
309,760
909,217
-
11,540
821,973","1,178,812
263,318
196,447
154,418
-
235,607","91,652
264,822
308,912
118,029
-
247,324"
"2,537,391","2,028,602","1,030,739"
"15,142,739","10,431,256","9,427,550"
"228,055
10,268,165
2,640,480","228,055
7,314,062
1,151,809","228,055
7,313,628
1,137,495"
"13,136,700
307,291","8,693,926
-","8,679,178
-"
"13,443,991","8,693,926","8,679,178"
"1,155,508
145,555","468,193
17,848","468,193
20,019"
"1,301,063","486,041","488,212"
"8,531
17,697
-
-
371,457
-","1,365
8,282
557,302
330,221
304,492
49,627","1,365
17,697
-
111,276
113,355
16,467"
"397,685","1,251,289","260,160"
"15,142,739","10,431,256","9,427,550"
"549,606
( 51,945)
( 2,878)
( 11,686)","( 383,856)
( 42)
( 643)
( 22,136)","99,383
( 1,736)
( 2,878)
( 4,485)"
"483,097","( 406,677)","90,284"
"29,241
( 46,141)
( 86,757)
( 9,062)
2,004
-","11,297
( 44,271)
( 3,008)
-
6,724
-","8,122
( 10,837)
( 6,520)
( 9,062)
1,832
-"
"( 110,715)","( 29,258)","( 16,465)"
"( 14,116)
( 15,954)
969,889
( 969,889)
( 114,028)","( 8,400)
( 9,416)
840,207
( 282,904)
( 114,028)","( 14,116)
( 15,954)
969,889
( 969,889)
( 114,028)"
"( 144,098)","425,459","( 144,098)"
"228,284
593,689
-","( 10,476)
247,324
( 1,241)","( 70,279)
317,603
-"
"821,973","235,607","247,324"
