Column,Stakeholder Group,Material Relationship,Means of Engagement
1,The Environment,"The land sustains our
operations","Protection, stewardship, and
precautionary approach to
the environment.
Application and diffusion of
environmentally friendly
technologies."
2,Employees,"Provide human capital. Their
engagement, skills and
attitude help the company to
achieve its business
objectives","Internal Circulars,
Trainings and Sensitization,
Leadership coaching and
mentorship, Skip level
meetings with Group
Managing Director"
3,"Investors, &
Shareholders","Provide financial Capital.
Their feedback helps shape
our business imperatives","Investor briefings and
meetings, investors
relations portal on website,
Announcement of interim
and annual results"
4,"Government/
Regulatory &
Industry Advocacy
Bodies","Provides policies and
framework for operational
licenses, imposes regulations
for proper governance and
industry guidelines.","Compliance with Licensing
requirements; Engagement
through industry
consultative bodies"
