New standard or amendments,"Effective for annual periods
beginning on or after"
 Disclosure initiative (Amendments to IAS 7),1 January 2017
" Recognition of Deferred Tax Assets for
Unrealized Losses (Amendments to IAS 12)",1 January 2017
 IFRS 9 Financial Instruments (2014),1 January 2018
" IFRS 15 Revenue from Contracts with
Customers",1 January 2018
 IFRS 16 Leases,1 January 2019
" Classification and Measurement of Share-
based Payment transactions (Amendments to
IFRS 2)",1 January 2018
" Applying IFRS 9 Financial Instruments with
IFRS 4 Insurance Contracts (Amendments to
IFRS 4)",1 January 2018
" IFRIC Interpretation 22 Foreign Currency
Transactions and Advance Consideration",1 January 2018
 IFRIC 23 Income tax exposures,1 January 2019
 IFRS 17 Insurance Contracts,1 January 2021
" Sale or Contribution of Assets between an
Investor and its Associate or Joint Venture
(Amendments to IFRS10 and IAS 28)",To be determined
