Column,Column,Column,Column,Biological,Column,Column,Column,Column
Share,,Revaluation,,Assets Fair,,Proposed,,
Capital,,Reserves,,Value,,Dividends,,Total
Kes ‘000,,Kes ‘000,,Kes ‘000,,Kes ‘000,,Kes ‘000
"228,055",,"7,627,565",,"102,489",,"285,069",,"11,361,605"
-,,-,,-,,-,,"339,407"
-,,-,,"57,222",,-,,-
,,-,,-,,-,,"(26,319)"
-,-,-,"(26,521)","57,222","288,961",-,"(6,574)","313,088"
,"-
-
-
-",,"-
-
-
-",,"(8,594)
-
(57,014)
(171,042)",,"(8,139)
-
-
-",
-,,-,,-,,,,"(16,733)"
-,,-,,-,,"(285,069)",,"(285,069)"
-,,-,,-,,,,"(57,014)"
-,,-,,-,,"171,042",,-
-,-,-,-,-,"(236,650)","(114,027)","(8,139)","(358,816)"
"228,055","98,530","7,627,565","26,128","159,711","2,698,759","171,042","306,087","11,315,877"
,"98,530
-
-
-",,"26,128
-
-
8,443",,"2,698,759
295,497
(38,891)
-",,"306,087
(1,974)
-
10",
"228,055",,"7,627,565",,"159,711",,"171,042",,"11,315,877"
-,,-,,-,,-,,"293,523"
-,,-,,"38,891",,-,,-
,,-,,-,,-,,"8,453"
-,-,-,"8,443","38,891","256,606",-,"(1,964)","301,976"
,"-
-
-
-",,"-
-
-
-",,"-
-
(114,028)
(114,028)",,"(9,000)
-
-
-",
-,,-,,-,,,,"(9,000)"
-,,-,,-,,"(171,042)",,"(171,042)"
-,,-,,-,,,,"(114,028)"
-,,-,,-,,"114,028",,-
-,-,-,-,-,"(228,056)","(57,014)","(9,000)","(294,070)"
"228,055","98,530","7,627,565","34,571","198,602","2,727,309","114,028","295,123","11,323,783"
,"Capital
Reserves
Kes ‘000
40,594
-
-
-",,"Defined
Benefit
Reserves
Kes ‘000
2,647
-
-
1,693",,"Retained
Earnings
Kes ‘000
1,038,457
235,057
(36,672)",,"Non
Controlling
Interest
Kes ‘000
-
-
-
-",
,,,,Biological,,,,
Share,,Revaluation,,Assets Fair,,Proposed,,
Capital,,Reserves,,Value,,Dividends,,Total
Kes ‘000,,Kes ‘000,,Kes ‘000,,Kes ‘000,,Kes ‘000
"228,055",,"5,517,443",,"57,401",,"285,069",,"7,169,666"
-,,-,,-,,-,,"235,057"
-,,-,,"36,672",,-,,-
,,-,,,,-,,"1,693"
-,-,-,"1,693","36,672","198,385",-,-,"236,750"
,"-
-
-",,"-
-
-",,"-
(57,014)
(171,042)",,"-
-
-",
-,,-,,-,,"(285,069)",,"(285,069)"
-,,-,,-,,,,"(57,014)"
-,,-,,-,,"171,042",,-
-,-,-,-,-,"(228,056)","(114,027)",-,"(342,083)"
"228,055","40,594","5,517,443","4,340","94,073","1,008,786","171,042",-,"7,064,333"
,"40,594
-
-
-",,"4,340
-
-
909",,"1,008,786
417,623
(24,323)",,"-
-
-
-",
"228,055",,"5,517,443",,"94,073",,"171,042",,"7,064,333"
-,,-,,-,,-,,"417,623"
-,,-,,"24,323",,-,,-
,,-,,,,-,,909
-,-,-,909,"24,323","393,300",-,-,"418,532"
,"-
-
-",,"-
-
-",,"-
(114,028)
(114,028)",,"-
-
-",
-,,-,,-,,"-171,042",,"(171,042)"
-,,-,,-,,,,"(114,028)"
-,,-,,-,,"114,028",,-
-,-,-,-,-,"(228,056)","(57,014)",-,"(285,070)"
"228,055","40,594","5,517,443","5,249","118,396","1,174,030","114,028",-,"7,197,795"
