New standard or amendments,Column,"Effective for annual
periods beginning on
or after",Column
—,Lack of Exchangeability (Amendments to IAS 21),,1 January 2025
—,Amendments to the Classification and Measurement of,1 January 2026,
,Financial Instruments (Amendments to IFRS 9 and IFRS 7),,1 January 2026
"— Annual improvements to IFRS Accounting Standards
(Amendments to IFRS 1, IFRS 7, IFRS 9, IFRS 10 and IAS
7)",,1 January 2026,1 January 2026
"— IFRS 18 Presentation and Disclosure in Financial
Statements",,1 January 2027,1 January 2027
"— IFRS 19 Subsidiaries without Public Accountability:
Disclosures",,1 January 2027,1 January 2027
"— Sale or Contribution of Assets between an Investor and its
Associate or Company (Amendments to IFRS 10 and IAS
28).",,Available for optional,
,,adoption/effective date,
,,deferred indefinitely,
