"Creditors 15 288,539 226,214"
"Tax payable 16 5,415 -"
"Bank overdraft 17 1,858 4,394"
"295,812 230,608"
"TOTAL SHAREHOLDERS’ FUNDS AND LIABILITIES 3,830,463 3,442,734"
