30.09.2018,Column,30.09.2018
Kes ‘000,,Kes ‘000
"593,395",,"(360,853)"
"(32,430)",,"(1,190)"
"(236,621)",,"(8,353)"
"324,344","(74,290)","(370,396)"
,"(8,905)
(264)
-
(15,702)
24,229
199,750
823",
"(53,323)",,"(10,273)"
"(16,218)",,"(15,716)"
"(1,206)",,"(1,037)"
"(368,910)",,"(46,618)"
"94,691",,"14,097"
-,,"301,000"
"143,841",,"140,623"
"(201,125)","199,931","382,076"
,"(12,564)
518,155
(408,419)
-
(228,056)",
"(5,166)",,"(4,764)"
"175,969",,"175,969"
"(276,821)",,"(276,821)"
-,,-
"(285,070)",,"(285,070)"
"(391,088)","(130,884)","(390,686)"
,"(5,243)
147,162
-
-",
"(267,869)",,"(379,006)"
"1,406,876",,"524,718"
-,,-
"(3,398)",,"1,450"
"1,135,609","141,919","147,162"
