Column,Stakeholder Group,Material Relationship,Means of Engagement
5,Customers,"Through innovation ensuring
we can supply our customers
with high-quality products
and support in cost-effective
manner","Sale through Retail outlets
country-wide; website,
e-commerce portal in our
website, social media
platforms (Facebook,
Twitter, and Instagram)"
6,"Creditors, suppliers
& service providers","They affect our ability and
business purpose to offer
quality and cost-competitive
products","Supplier performance
evaluation, Supplier factory
site visits."
7,Out growers farmers,"Impact on our ability to attain
factory optimal capacities,
affect our ability to produce
quality products in a cost-
effective manner.","Field extension services,
Plant husbandry advice and
technological interventions,
Farm materials and inputs
assistance. Farmers’ Open
Day"
8,Bankers,"Bankers step in to provide
periodic/ term financial
requirements to tidy the
business operations
Custodian of company’s
funds and fixed deposits","Application for short- and
medium-term borrowings
and overdraft facilities.
By opening Interest earning
Fixed Deposits accounts"
9,Auditors,"Auditors are vital for the
evaluation of the situation
and health of the Company
to give assurance to the
shareholders and potential
investors","Through inspection of all
books of accounts and
company records"
10,Community,"Sustainable development
initiatives through the
provision of education
facilities and clean water that
enhances their socio-
economic status","Initiating projects that give
back to the society to
improve their livelihoods,
Barazas (Social gatherings)"
11,Media,"The media is our key
window to the external
world. Updating the media
regularly on new business
development initiatives and
products helps expand our
target customers and
stakeholders.","Product launch and
advertisement, media
release, interviews with
Group Managing Director
and key Managers.
Telephone conversations"
