Column,Stakeholder Group,Material Relationship,Means of Engagement
5,Customers,"Through innovation ensuring
we can supply our customers
with high-quality products and
support in cost-effective
manner","Direct exports; Auctions and
local sales through retail
outlets country-wide; website,
social media platforms
(Facebook, Twitter, and
Instagram)"
6,"Creditors, suppliers
& service providers","They affect our ability and
business purpose to offer
quality and cost-competitive
products","Supplier performance
evaluation, Supplier factory
site visits. Prompt payments
for goods and services."
7,Out growers farmers,"Supply of raw materials to our
factories. They supplement and
boost our production volumes.","Field extension services, Plant
husbandry advice and
technological interventions,
Farm materials and inputs
assistance. Prompt payment
for supplies. Farmers’ Open
Day"
8,Bankers,"Banking services and financial
assistance.","Physical and Online
interaction."
9,"Auditors
(Internal & External)","Auditors are vital for the
evaluation of the situation
and health of the Company
to give financial assurance to
the shareholders and other
stakeholders.","Through inspection of all
books of accounts,
operations and company
records."
10,Community,"Sustainable development
initiatives through the
provision of education
facilities and clean water that
enhances their socio-
economic status. Are also
part of the outgrowers.","Initiating projects that give
back to the society to
improve their livelihoods
through CSR activities
(drilling boreholes,
education materials, Social
gatherings)."
11,Media,"The media is our key
window to the external
world. Updating the media
regularly on new business
development initiatives and
products helps expand our
target customers and
stakeholders.","Product launch and
advertisement, media
release, interviews and
investor briefing."
