Column,MEMBER/IN,DECEMBER,Column,MARCH,Column,"MAY
2019",Column,"SEPTEMBER
2019",Column
,ATTENDANCE,2018,,2019,,,,,
Mrs. Betty Koech,,,✓,,✓,,✓,,✓
Dr. James McFie,,,✓,,✓,,✓,,✓
Mrs. Rosemary Munyiri,,,✓,,✓,,✓,,✓
Mr. Sameer Merali,,,✓,,✓,,✓,,✓
Mr. Lawrence Kibet,,,✓,,✓,,✓,,✓
