Column,Column,Column,Column,Biological,Column,Column,Column,Column
Share,,Revaluation,,Assets Fair,,Proposed,,
Capital,,Reserves,,Value,,Dividends,,Total
Ksh ‘000,,Ksh ‘000,,Ksh ‘000,,Ksh ‘000,,Ksh ‘000
"228,055",,"7,887,974",,"2,702,081",,"57,014",,"13,558,505"
-,,-,,"(2,370,439)",,-,,"(2,413,762)"
"228,055","98,530","7,887,974","50,520","331,642","2,144,228","57,014","346,780","11,144,743"
,"-
-
-
-
-
-",,"-
-
2,129
-
-
-",,"587,655
117,997
-
-
131,741
-",,"(10,670)
-
(184)
(8,216)
-
-",
-,,-,,-,,-,,"576,985"
-,,-,,"(117,997)",,-,,-
,,-,,-,,-,,"1,945"
-,,"(233,268)",,-,,-,,"(241,484)"
-,,"(20,585)",,"(111,156)",,-,,-
-,,"(6,556)",,-,,-,,"(6,556)"
-,-,"(260,409)","2,129","(229,153)","837,393",-,"(19,070)","330,890"
,"-
-
-
-",,"-
-
-
-",,"6,910
-
(57,014)
(285,069)",,"(6,910)
-
-",
-,,-,,-,,-,,-
-,,-,,-,,"(57,014)",,"(57,014)"
-,,-,,-,,-,,"(57,014)"
-,,-,,-,,"285,069",,-
-,-,-,-,-,"(335,173)","228,055","(6,910)","(114,028)"
"228,055","98,530","7,627,565","52,649","102,489","2,646,448","285,069","320,800","11,361,605"
,"98,530
-",,"52,649
-",,"2,619,820
26,628",,"364,123
(43,323)",
"228,055",,"7,627,565",,"2,684,421",,"285,069",,"13,960,232"
-,,-,,"(2,581,932)",,,,"(2,598,627)"
"228,055","98,530","7,627,565","52,649","102,489","2,646,448","285,069","320,800","11,361,605"
,"-
-
-",,"-
-
(26,521)",,"346,183
(57,222)
-",,"(6,776)
-
202",
-,,-,,-,,-,,"339,407"
-,,-,,"57,222",,-,,-
,,-,,-,,-,,"(26,319)"
-,-,-,"(26,521)","57,222","288,961",-,"(6,574)","313,088"
,"-
-
-
-",,"-
-
-
-",,"(8,594)
-
(57,014)
(171,042)",,"(8,139)
-
-
-",
-,,-,,-,,,,"(16,733)"
"-
-",,"-
-",,"-
-",,"(285,069)",,"(285,069)
(57,014)"
-,,-,,-,,"171,042",,-
-,-,-,-,-,"(236,650)","(114,027)","(8,139)","(358,816)"
"228,055","98,530","7,627,565","26,128","159,711","2,698,759","171,042","306,087","11,315,877"
,"Capital
Reserves
Ksh ‘000
40,594",,"Defined
Benefit
Reserves
Ksh ‘000
5,456
-",,"Retained
Earnings
Ksh ‘000
629,903
-",,"Non
Controlling
Interest
Ksh ‘000
-
-",
,,,,Biological,,,,
Share,,Revaluation,,Assets Fair,,Proposed,,
Capital,,Reserves,,Value,,Dividends,,Total
Ksh ‘000,,Ksh ‘000,,Ksh ‘000,,Ksh ‘000,,Ksh ‘000
"228,055",,"5,678,118",,"1,179,161",,"57,014",,"7,818,301"
,,,,"(1,098,450)",,-,,"(1,098,450)"
"228,055","40,594","5,678,118","5,456","80,711","629,903","57,014",-,"6,719,851"
,"-
-
-
-
-
-",,"-
-
-
(2,809)
-
-",,"749,180
23,310
-
-
(21,853)
-",,"-
-
-
-
-
-",
-,,-,,-,,-,,"749,180"
-,,-,,"(23,310)",,-,,-
-,,"(175,972)",,-,,-,,"(175,972)"
-,,-,,-,,-,,"(2,809)"
-,,"21,853",,-,,-,,-
-,,"(6,556)",,-,,-,,"(6,556)"
-,-,"(160,675)","(2,809)","(23,310)","750,637",-,-,"563,843"
,"-
-
-",,"-
-
-",,"-
(57,014)
(285,069)",,"-
-
-",
-,,-,,-,,"(57,014)",,"(57,014)"
-,,-,,-,,,,"(57,014)"
-,,-,,-,,"285,069",,-
-,-,-,-,-,"(342,083)","228,055",-,"(114,028)"
"228,055","40,594","5,517,443","2,647","57,401","1,038,457","285,069",-,"7,169,666"
"228,055","40,594","5,517,443","2,647
-","1,185,294","1,064,947
(26,490)","285,069","-
-","8,324,049"
,,,,"(1,127,893)",,-,,"(1,154,383)"
"228,055","40,594","5,517,443","2,647","57,401","1,038,457","285,069",-,"7,169,666"
,"-
-
-",,"-
-
1,693",,"235,057
(36,672)
-",,"-
-
-",
-,,-,,-,,-,,"235,057"
-,,-,,"36,672",,-,,-
,,-,,-,,-,,"1,693"
-,-,-,"1,693","36,672","198,385",-,-,"236,750"
,"-
-
-",,"-
-
-",,"-
(57,014)
(171,042)",,"-
-
-",
-,,-,,-,,"(285,069)",,"(285,069)"
-,,-,,-,,,,"(57,014)"
-,,-,,-,,"171,042",,-
-,-,-,-,-,"(228,056)","(114,027)",-,"(342,083)"
"228,055","40,594","5,517,443","4,340","94,073","1,008,786","171,042",-,"7,064,333"
