RESOLUTION,FOR,AGAINST
ORDINARY BUSINESS,,
"1. To receive, consider and adopt the Financial Statements for the
financial year ended 30 June 2023 together with the Chairman’s
Statement, and the Directors’ and Auditors’ reports thereon.",,
"2. Re-election of Ms Emma Miloyo, who retires at this meeting in
accordance with the provisions of Article 96 of the Company’s Articles
of Association and, being eligible, offers herself for re-election.",,
"3. Re-election of Mr Ali Hussein Kassim, who retires in accordance with
the provisions of Article 96 of the Company’s Articles of Association
and, being eligible, offers himself for re-election.",,
"4. Re-election of Dr Dancan Irungu, who retires in accordance with the
provisions of Article 98(a) of the Company’s Articles of Association
and, being eligible, offers himself for re-election.",,
