Column,Column,31,August 2023,26 October 2023,Column,26 January 2024,Column,10 May 2024,Column
"D Irungu (Chair)
A K Hussein*
F Murimi",,,-,√,,√,,√,
,,,√,√,,√,,-,
,urimi,,-,,-,,√,,√
T Kwaka-Sumba**,,,√,-,,-,,-,
,,,√,√,,-,,-,
,itau***,,-,,-,,-,,-
