Column,Column,Column,Column,Column,Column,Group,Column,Column,Column,Company
,,,2023,,2022 Restated,,2023,,2022 Restated,
,,,Sh’000,,Shs’000,,Shs’000,,Shs’000,
"Contract ass
Less: Expect","ets
ed credit los",ses,4,"14,154",,"332,825","414,",154,,"332,825"
,,,(,"1,013)",,(820),"(1,",013),,(820)
,,,"413,141",,"332,005",,"413,141",,"332,005",
