Performance ratios,Group,Column,Company,Column
,2018,2017,2018,2017
Revenue in (Shs ‘000’),"1,696,318","1,451,774","1,519,132","1,282,658"
Gross profit as a percentage of revenue,54%,52%,54%,53%
Operating profit as a percentage of revenue,21%,16%,24%,19%
Profit after income tax (Shs ‘000’.),"183,604","133,876","195,867","156,259"
Net assets (Shs ‘000’),"1,039,638","945,706","1,101,909","985,050"
