Director,2 August 2017,30 November 2017,Column,25 January 2018,30 May 2018
F Murimi (Chair),√,√,,√,√
R Nyamweya,√,,√,√,√
A K Hussein,√,√,,√,√
S Omanga*,√,√,,√,-
T Kwaka-Sumba**,√,√,,√,-
M Githu ***,-,-,,-,√
Centum****,-,-,,-,√
