Member,27 August 2020,3 November 2020,28 January 2021,22 April 2021,3 June 2021
A K Hussein (Chair),√,√,√,√,√
T Kwaka-Sumba,√,√,√,√,√
R Nyamweya,√,√,√,-,√
F Murimi,√,-,√,√,√
E Miloyo,√,-,√,√,√
