Notes,"2022
Shs’000","2021
Shs’000"
12 (b),"130,276","127,721"
13 (a),"6,784","8,084"
13 (b),"605,210","567,071"
15,"39,731","39,731"
14,"166,594","166,594"
17,"37,386","71,969"
,"985,981","981,170"
18,"493,458","502,751"
19,"305,016","753,218"
27 (a),"719,698","643,457"
,"27,866","27,951"
20,"153,584","47,437"
,"1,699,622","1,974,814"
,"2,685,603","2,955,984"
21,"272,440","272,440"
21,"368,289","368,289"
,"215,964","178,257"
,"856,693","818,986"
22,"824,160","920,597"
27 (b),"69,083","69,083"
23,"935,667","1,130,166"
20,-,"17,152"
,"1,828,910","2,136,998"
,"2,685,603","2,955,984"
