Column,Column,Column,Column,Column,Column,Column,Column,2023,Column,Column,2022,Column,2023,Column,2022,Column
,,,,,,,,,Shs’000,,Shs’00,0,Shs,’000,,Shs’000
,,,,,ution scheme,,,,"149,692",,"146,46",2,113,",678",,"102,137"
,,,,,,,,"3,571",,,"4,197",,401,,223,
,,,,,,,,"7,942",,,"9,010",,"7,863",,"8,995",
,,,,,,,,,"(1,793)",,"3,57",3,(1,",194)",,"2,756"
,,,,,,,,,"48,775",,"44,99",5,37,",747",,"33,022"
,,,,,,,,"17,896",,,"21,881",,"12,366",,"15,054",
,,,,,,,,"226,083",,,"230,118",,"170,861",,"162,187",
The a,verage,numb,er of e,mploy,ees du,ring th,e year,,was as,follow,s:,,,,,
,,,,,,,,2023,,,2022,,2023,,2022,
Number of,,employees,,,,,,,111,,15,5,,74,,
