Director,24 July 2019,30 October 2019,22 January 2020,22 April 2020
F Murimi (Chair),√,√,√,√
S Kariuki*,√,-,√,√
R Nyamweya,√,-,√,√
A K Hussein,√,√,√,√
M Githu,√,-,√,√
