Director,Column,Column,Column,"31 August
2023","30 October
2023","29 November
2023","22 February
2024",Column,"13 June
2024",Column
"F T Nyammo (Board Chairman)
M Wahome
T Kwaka-Sumba*",Nyammo (Bo,ard Chairma,n),√,√,√,,√,,√
,,,,√,√,√,√,,√,
,,,,√,√,√,√,,-,
"Centum Investment Company PLC
(Represented by T Omondi)
A K Hussein
M Githu",,,,√,√,√,√,,√,
,,,,√,√,√,-,,-,
,ithu,,,√,-,-,,√,,√
"F Murimi
E Miloyo",urimi,,,-,√,√,,√,,√
,,,,√,√,√,√,,√,
"D Irungu
S Gitau**",,,,√,√,√,√,,√,
,itau**,,,-,-,-,,-,,√
