Column,Column,Column,Group,Column,Column,Column,Column,Company,Column,Column,Column,Column
Perform,ance ratios,,,2023,,2022 Resta,ted,,2023,,2022 Rest,ated
Revenue in (Shs’000),,,"1,071,031",,"1,473,486",,,"883,113",,"1,046,804",,
Gross profit margin,,,18%,,31%,,,18%,,32%,,
Operatin,g (loss)/profit,margin,,(42%),,,2%,,(37%),,,3%
Loss before income tax (Shs’000),,,"(630,117)",,"(102,878)",,,"(510,567)",,"(105,105)",,
Net assets (Shs ‘000),,,"289,780",,"862,622",,,"484,438",,"936,444",,
