Director,22 July 2020,28 October 2020,27 January 2021,20 April 2021
F Murimi (Chair),√,√,√,√
S Kariuki*,√,√,√,√
R Nyamweya,√,√,√,√
A K Hussein,√,√,√,√
M Githu,√,√,√,√
