"Member
T Kwaka-Sumba* (Chair)
A K Hussein",Column,20,July 2023,Column,26 October 2023,Column,8 February 2024,Column
,,,√,,√,,√,
,,,√,,-,,√,
"F Murimi
M Githu",urimi,,,√,,√,,√
,,,√,,√,,√,
"E Miloyo
D Irungu",,,√,,-,,√,
,ngu,,,√,,√,,√
