"2021
Shs’000","2020
Shs’000"
"127,721","136,908"
"8,084","11,972"
"567,071","548,166"
"39,731",-
"166,594","166,594"
"71,969","70,128"
"981,170","933,768"
"502,751","363,809"
"753,218","539,973"
"643,457","573,600"
"27,951","37,161"
"47,437","80,427"
"1,974,814","1,594,970"
"2,955,984","2,528,738"
"272,440","272,440"
"368,289","368,289"
"178,257","145,980"
"818,986","786,709"
-,"354,739"
"920,597","544,843"
"69,083","69,083"
"1,130,166","752,900"
"17,152","20,464"
"2,136,998","1,387,290"
"2,955,984","2,528,738"
