Number,Executive summary
"Annual improvements cycle 2018
-2020","Annual periods beginning on or after 1 January 2022(Published May 2020).
The Phase 2 amendments address issues that arise from the implementation
of the reform of an interest rate benchmark, including the replacement of one
benchmark with an alternative one."
"Amendment to IAS 1 ‘Presentation
of Financial Statements’ on
Classification of Liabilities as
Current or Non-current","This amendment is applicable for annual periods on or after 1 January 2022.
These amendments include minor changes to:
• IFRS 1, ‘First time adoption of IFRS’ has been amended for a subsidiary that
becomes a first-time adopter after its parent. The subsidiary may elect to
measure cumulative translation differences for foreign operations using the
amounts reported by the parent at the date of the parent’s transition to IFRS.
• IFRS 9, ‘Financial Instruments’ has been amended to include only those costs
or fees paid between the borrower and the lender in the calculation of “the
10% test” for derecognition of a financial liability. Fees paid to third parties
are excluded from this calculation.
• IFRS 16, ‘Leases’, amendment to the Illustrative Example 13 that accompanies
IFRS 16 to remove the illustration of payments from the lessor relating to
leasehold improvements. The amendment intends to remove any potential
confusion about the treatment of lease incentives."
"Amendments to IAS 37 Onerous
Contracts—Cost of Fulfilling a
Contract","Annual periods beginning on or after 1 January 2022 (Published May 2020)
The amendment clarifies which costs an entity includes in assessing whether a
contract will be loss-making. This assessment is made by considering unavoidable
costs, which are the lower of the net cost of exiting the contract and the costs
to fulfil the contract. The amendment clarifies the meaning of ‘costs to fulfil a
contract’. Under the amendment, costs to fulfil a contract include incremental
costs and the allocation of other costs that relate directly to fulfilling the contract."
"Amendments to IAS 16 Property,
Plant and Equipment: Proceeds
before Intended Use","Annual periods beginning on or after 1 January 2022 (Published May 2020).
The amendment to IAS 16 prohibits an entity from deducting from the cost of an
item of PPE any proceeds received from selling items produced while the entity
is preparing the asset for its intended use (for example, the proceeds from selling
samples produced when testing a machine to see if it is functioning properly). The
proceeds from selling such items, together with the costs of producing them, are
recognised in profit or loss."
