Column,Column,Column,"30 June
2022",Column,Column,"Increase /
(decrease)",Column,"30 June 202
Restate",Column,"2
d",Column,"30 Ju
20","ne
21","Increa
(decrea",Column,"se /
se)","1 July
Rest",Column,Column
,,,Shs’000,,Shs’000,,,Shs’000,,,,Shs’000,,Shs’000,,,,,
,,,"37,386",,"4,211",,,"41,597",,,,"73,147",,"(48,849)",,,"24,298",,
,,,748,",697",,(18,"4,331)",,"564,3",66,,"684,5",16,,"(217,7",76),,466,",740"
,,,"487,184",,"(23,120)",,,"464,064",,,,"873,136",,"(86,053)",,,"787,083
623,887
10,214",,
,,,-,,"332,005",,,"332,005",,,,-,,"623,887",,,,,
,,,"28,397",,,"(21,897)",,"6,5",,00,,"32,1",11,"(21,8",,97),10,,
,,,"2,685,167",,,"106,868",,"2,792,03",,5,"2,","877,7",29,"249,",,312,"1,912",,
,,,"196,676",,"79,751",,,"276,427",,,,"156,623",,"204,170",,,,,
,,,"922,297",,"27,117",,,"949,414",,,,"942,654",,"45,142",,,"987,796
1,348,589",,
,,,"2,685,167",,,"106,868",,"2,792,03",,5,"2,","877,7",29,"249,",,312,"1,348",,
Company,,,,,,,,,,,,,,,,,,,
Statement of profit or loss extract,,,,,,,2022,,,Inc,,rease /(decrease),,,,2022 Restated,,,
,,,,,,,,Shs’000,,,,,Shs’000,,,Shs,,,
Revenue,,,,,,,"1,297,719",,,,,"(250,915)",,,,,,,
Cost of sales,,,,,,,"(784,682)",,,,,"73,436",,,,"(711,246)
(105,105)",,,
Pro,fit/(loss) bef,ore tax,,,,,,"72,375",,,,,"(177,480)",,,"(105,",,,
Inc,ome tax credi,t/(expense),,,,,,"(34,668)",,,,,"53,060",,,18,,,
,,,,,,,"37,707",,,,,"(124,419)",,,,,,,
