Column,Year ended 30 June,Column
,2018,2017
Notes,Shs’000,Shs’000
23,"505,011","280,189"
,"(6,803)","6,040"
,"(48,766)","(36,932)"
,"449,442","249,297"
12,"(18,445)","(5,488)"
,"4,418","18,504"
13 (a),"(1,328)","(4,694)"
,-,"(23,426)"
13 (b),"(182,793)","(104,465)"
,"(198,148)","(119,569)"
22,"250,605","(197,775)"
,"(79,008)","(120,354)"
,"171,597","(318,129)"
,"422,891","(188,401)"
,"11,649","204,049"
,"(15,761)","(3,999)"
19,"418,780","11,649"
