Share capital,"Share
premium","Retained
earnings",Total equity
"272,440","368,289","501,997","1,142,726"
-,-,"(214,348)","(214,348)"
-,-,"(141,669)","(141,669)"
"272,440","368,289","145,980","786,709"
"272,440","368,289","145,980","786,709"
-,-,"32,277","32,277"
"272,440","368,289","178,257","818,986"
