RESOLUTION,FOR,AGAINST,ABSTAIN
ORDINARY BUSINESS,,,
"1. To receive, consider and adopt the Financial Statements for the
financial year ended 30 June 2022 together with the Chairman’s
Statement, and the Directors’ and Auditors’ reports thereon.",,,
"2. To note that the Directors do not recommend the payment of a
dividend in respect of the financial year ended 30 June 2022.",,,
"3. Hon F T Nyammo retires at this meeting in accordance with the
provisions of Article 96 of the Company’s Articles of Association
and, being eligible, offers himself for re-election.",,,
"4. Centum Investment Company Limited (represented by Mr Thomas
Omondi) retires at this meeting in accordance with the provisions
of Article 96 of the Company’s Articles of Association and, being
eligible, offers itself for re-election.",,,
