Country,Column,KE,Column,Column,UG,Column,Column,Column,TZ,Column,RW,Column,Column,Column
Classific,ation /Ratios,LGD,,PD,,LGD,P,D,LGD,PD,,LGD,,PD
Active customers,,10%,13%,,19%,,47%,,34%,30%,100%,,100%,
Inactive customers,,70%,53%,,28%,,75%,,88%,75%,100%,,100%,
Governm,ent,1%,,23%,,1%,11,%,-,-,,,-,-
Staff,,30%,,23%,,-,,-,90%,75%,,,-,-
