Member,26 August 2021,28 October 2021,2 February 2022,28 April 2022,9 June 2022
A K Hussein (Chair),√,√,√,√,√
T Kwaka-Sumba,√,√,√,√,-
R Nyamweya,√,√,√,√,-
E Miloyo,-,√,√,√,√
"Centum Investments
Company PLC*",√,√,√,√,√
