Movement in borrowings,Group,Column,Company,Column
,2025,2024,2025,2024
,,KShs’000,,KShs’000
,,"1,220,485",,"1,178,865"
,,"1,049,709",,"1,049,709"
,,"204,648",,"204,565"
,,"(1,254,803)",,"(1,254,555)"
,,"(200,050)",,"(199,417)"
,,"1,019,989",,"979,167"
