"2021
Shs’000","2020
Shs’000"
"182,955","189,535"
"9,959","13,881"
"802,370","741,839"
"39,731",-
"125,786","125,786"
"73,147","74,880"
"1,233,948","1,145,921"
"684,516","548,710"
"873,136","582,139"
"32,111","37,161"
"54,018","136,233"
"1,643,781","1,304,243"
"2,877,729","2,450,164"
"272,440","272,440"
"368,289","368,289"
"156,623","148,401"
"(56,042)","(54,723)"
"741,310","734,407"
(389),358
"740,921","734,765"
-,"354,739"
"942,654","540,158"
"1,177,002","800,038"
"17,152","20,464"
"2,136,808","1,360,660"
"2,877,729","2,450,164"
