Director,"10 September
2024","14 November
2024","19 December
2024","20 February
2025",30 June 2025
F T Nyammo (Board Chairman),√,√,-,-,-
M Wahome,√,√,√,√,√
"Centum Investment Company
PLC (Represented by T Omondi)",√,√,√,√,√
A K Hussein,√,√,√,√,√
M Githu,√,√,√,-,√
F Murimi,√,√,√,√,√
E Miloyo,√,√,√,-,√
D Irungu,-,√,√,-,√
S Gitau,√,,,-,√
Prof G Muigai (Board Chairman),,,,√,√
M Nyammo,,,,√,√
