Group,Less than 12 Months,Between 1-2 years,Total
,Shs’000,Shs’000,Shs’000
,"922,297",-,"922,297"
,"1,015,027",-,"1,015,027"
,-,-,-
,"1,937,324",-,"1,937,324"
,"942,654",-,"942,654"
,"1,213,567",-,"1,213,567"
,"17,152",-,"17,152"
,"2,173,373",-,"2,173,373"
,"824,160",-,"824,160"
,"69,083",-,"69,083"
,"970,695",-,"970,695"
,-,-,-
,"1,863,938",-,"1,863,938"
,"920,597",-,"920,597"
,"69,083",,"69,083"
,"1,166,731",-,"1,166,731"
,"17,152",-,"17,152"
,"2,173,563",-,"2,173,563"
