"Land and
buildings","Motor
vehicles","Furniture and
equipment",Total
Shs’000,Shs’000,Shs’000,Shs’000
"191,849","74,589","56,756","323,194"
"(26,326)","(25,208)","(41,305)","(92,839)"
"165,523","49,381","15,451","230,355"
"165,523","49,381","15,451","230,355"
-,-,"5,488","5,488"
"27,014",-,"3,544","30,558"
"(9,483)","(12,191)",(516),"(22,190)"
"(4,550)","(14,096)","(8,891)","(27,537)"
312,"4,644",223,"5,179"
-,(904),,(904)
"178,816","26,834","15,299","220,949"
"209,380","61,494","65,272","336,146"
"(30,564)","(34,660)","(49,973)","(115,197)"
"178,816","26,834","15,299","220,949"
"178,816","26,834","15,299","220,949"
"5,167",-,"13,278","18,445"
-,"(28,938)",-,"(28,938)"
"(4,607)","(10,178)","(6,760)","(21,545)"
-,"14,238",-,"14,238"
"1,227","3,114",-,"4,341"
"180,603","5,070","21,817","207,490"
"215,774","35,670","78,550","329,994"
"(35,171)","(30,600)","(56,733)","(122,504)"
"180,603","5,070","21,817","207,490"
