Group,Column,Column,Gross amounts,Column,"Expected credit
loss (ECL)",Column,Total,Column
30 Ju,ne 2024,Note,KShs’0,00,,KShs’000,KShs,’000
,,18,"286,921",,"(176,057)",,"110,864",
,,19,"325,",101,,( 616),324,",485"
,,18,"5,474",,( 695),,"4,779",
,,18,"10,893",,-,,"10,893",
,,20,"27,",533,,-,27,",533"
