Year ended 30 June 2025,Column,Column,Column,Column,Column
At start of year,"272,440","368,289","(288,410)",-,"352,319"
Loss for the year,-,-,"(587,009)",-,"(587,009)"
"Other comprehensive income for the
year:",,,,,
Revaluation surplus,-,-,-,"301,381","301,381"
Deferred tax,-,-,-,"( 67,822)","( 67,822)"
At end of year,"272,440","368,289","(875,419)","233,559","( 1,131)"
