Column,Column,30 August,2022,"27 October
2022",26 January 2023,4 May 2023,8 June 2023
,,√,,√,√,-,√
,,√,,√,√,√,√
"R Nyamweya*
E Miloyo",yamweya*,√,,-,,,
,,√,,√,√,√,√
"Centum Investment
Company PLC
(Represented by
T Omondi)",,√,,√,√,√,√
