Name of Director,Column,Column,No,. of Shares,Column,%,Column
Stanbic Nominees Ltd A/C R98301*,,,1,"64,014,078",,60.20,
Francis T,hombe Nyam,mo**,,"16,018",",000",,5.88
Total,,,18,"0,032,078",,66.08,
