Assumption,Ap,proach used to determine values:
Sales volume,"Average annual growth rate over the five-year forecast period; based
on past performance and management expectations of market
development.",
Sales price,"Average annual growth rate over the five-year forecast period; based on
current industry trends and including long term country inflation forecast",
Budgeted average gross margin,Based on past performance and management expectations of the future.,
Annual capital expenditure,"Expected cash costs in the CGUs. This is based on the historical experience
of management, the planned refurbishment, or sustaining expenditure.
No incremental revenue or cost savings are assumed in the Fair Value less
cost to sell model as a result of this expenditure.",
