Member,23 July 2020,3 November 2020,28 January 2021,22 April 2021
T Kwaka-Sumba (Chair),√,√,√,√
S Kariuki*,√,√,√,√
A K Hussein,√,√,-,√
M Githu,√,√,√,√
E Miloyo,√,-,√,√
