Kenya,Tanzania,Uganda,Rwanda,"Inter- segment
transactions",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"1,336,798","41,127","362,968",216,-,"1,741,109"
"(1,266,114)","(88,091)","(313,238)",936,-,"(1,666,507)"
"70,685","(46,964)","49,730","1,152",-,"74,602"
"34,668",-,16,-,,"34,684"
"2,602,623","(47,083)","167,155","8,664","(46,192)","2,685,167"
"1,792,387","37,156","116,612","9,548","(53,407)","1,902,296"
"1,051,543","88,767","106,270",369,-,"1,246,949"
"(1,022,024)","(80,764)","(115,908)","(10,480)",-,"(1,229,176)"
"29,519","8,003","(9,638)","(10,111)",-,"17,773"
"6,583","3,716",-,-,-,"10,299"
"2,841,614","(6,736)","50,552","11,883","(19,584)","2,877,729"
"2,023,856","25,617","49,749","6,679","30,907","2,136,808"
