Salary,Fees,Gratuity,Bonuses,"Expense
allowances","Estimated
value for non
cash benefits",Column
Shs 000,Shs 000,Shs 000,Shs 000,Shs 000,Shs 000,Shs 000
-,"1,520",-,-,595,-,"2,115"
"14,955",-,-,"1,926",-,578,"17,459"
-,690,-,-,-,-,690
-,766,-,-,-,-,766
-,589,-,-,-,-,589
-,801,-,-,-,-,801
-,725,-,-,-,-,725
-,829,,,,,829
-,829,-,-,-,-,829
"14,955","6,749",-,"1,926",595,578,"24,803"
-,"2,295",-,-,-,-,"2,295"
"4,757
13,854","-
-","3,878","1,926
1,251","-
-","-
-","10,561
15,105"
-,973,-,-,-,-,973
-,"1,248",-,-,-,-,"1,248"
-,"1,091",-,-,-,-,"1,091"
-,"2,037",-,-,-,-,"2,037"
-,"1,270",-,-,-,-,"1,270"
,"1,335",,,,,"1,335"
-,"1,336",-,-,-,-,"1,336"
"18,611","11,585","3,878","3,177",-,-,"37,251"
