"Group Less
than 1 month
Sh’000","Between 1-3
months
Shs’000","3-12
months
Shs’000","Total
Shs’000"
"101,522","79,021","541,996","722,539"
-,-,"584,799","584,799"
-,700,-,700
"101,522","79,721","1,126,795","1,308,038"
"21,648","73,811","457,737","553,196"
-,-,"334,194","334,194"
-,"8,882",-,"8,882"
"21,648","82,693","791,931","896,272"
"98,044","80,804","555,343","734,191"
-,-,"532,632","532,632"
-,211,-,211
"98,044","81,015","1,087,975","1,267,034"
"21,391","33,321","423,199","477,911"
-,-,"280,886","280,886"
"11,821",-,-,"11,821"
"33,212","33,321","704,085","770,618"
